"avaliacao_id","avaliador_id","avaliado_id","nota_avaliacao","avaliacao_texto"
138,72,18,5,"""A reforma da minha varanda teve um resultado satisfatório, mas a falta de comprometimento com prazos foi um problema. Maior responsabilidade na gestão do tempo é crucial."""
139,134,14,5,"""Houve um bom esforço na execução da construção, mas a falta de supervisão levou a alguns erros na fase inicial. Sugiro mais controle de qualidade desde o início do projeto."""
140,8,9,5,"""A equipe foi atenciosa na reforma do meu apartamento, no entanto, a falta de cuidado na proteção de áreas adjacentes durante a obra foi notável. Maior zelo é necessário."""
141,43,6,2,"""Contratei-os para uma reforma em casa. Apesar da qualidade do serviço, houve falta de transparência em relação aos materiais utilizados. Maior clareza seria positiva."""
142,10,4,5,"""O serviço de construção atendeu às expectativas, mas a ausência de um plano de contingência para imprevistos prejudicou o andamento do projeto. Melhor preparação é necessária."""
143,93,20,3,"""A equipe foi competente na reforma do meu escritório, no entanto, houve dificuldades na comunicação sobre alterações no projeto. Melhorias na comunicação são essenciais."""
144,155,10,1,"""A reforma do meu banheiro teve um bom resultado final, porém, a falta de acompanhamento regular do progresso gerou incertezas. Recomendo maior feedback ao cliente."""
145,23,13,3,"""Embora tenham entregado a construção no prazo, houve problemas com a qualidade de alguns materiais utilizados. Sugiro maior atenção à seleção de materiais de melhor qualidade."""
146,103,16,2,"""A equipe foi comprometida na reforma da minha cozinha, mas alguns detalhes de acabamento foram negligenciados. Melhor atenção aos detalhes é fundamental."""
147,27,29,4,"""O serviço de construção foi satisfatório, porém, houve falta de cuidado na proteção de áreas adjacentes durante a obra. Maior zelo com o ambiente é necessário."""
148,67,4,5,"""Apesar do resultado final da reforma ter sido positivo, a falta de flexibilidade para ajustes no projeto foi um obstáculo. Sugiro maior adaptabilidade"""
149,124,29,2,"""Embora tenham concluído a reforma da minha cozinha dentro do prazo, alguns detalhes ficaram negligenciados. Precisam melhorar a atenção aos acabamentos."""
150,123,30,4,"""O serviço de construção foi satisfatório, mas a comunicação durante o processo poderia ter sido mais clara. Sugiro mais transparência nas etapas do projeto."""
151,156,9,1,"""A equipe foi pontual na reforma do meu banheiro, porém houve dificuldades na resolução de problemas imprevistos. Maior agilidade nas soluções seria benéfica."""
152,134,12,2,"""Contratei-os para um projeto de construção. Embora o resultado final tenha sido bom, houve atrasos na entrega. Melhorias no cumprimento dos prazos são necessárias."""
153,186,6,2,"""A reforma do meu escritório teve um bom acabamento, mas houve desafios na coordenação entre os profissionais envolvidos. Sugiro melhor organização entre as equipes."""
154,164,25,1,"""O serviço de construção foi satisfatório, mas houve divergências no orçamento inicial e final. Recomendo mais clareza nos custos extras durante o projeto."""
155,179,5,2,"""Pontualidade foi um ponto forte na reforma da minha casa, porém, a limpeza pós-obra deixou a desejar. Sugiro mais atenção nesse aspecto para uma melhor experiência."""
156,191,26,1,Equipe de construção altamente profissional. A reforma da minha casa foi concluída com perfeição.
157,18,22,5,Serviço de reforma de extrema qualidade! Profissionais comprometidos e atenciosos com os detalhes.
158,148,2,4,"""Excelente serviço de construção! Pontuais, competentes e entregaram o projeto conforme acordado. Recomendo sem dúvidas!"""
159,34,19,2,"""A equipe foi pontual e comprometida na reforma do meu banheiro, porém, seria vantajoso oferecer opções mais sustentáveis de materiais para escolha dos clientes, alinhando-se às tendências ambientais."""
160,15,26,5,"""O serviço de construção foi bem executado, no entanto, seria benéfico ter mais disponibilidade para reuniões intermediárias durante o projeto, para alinhar expectativas e ajustar detalhes conforme necessário."""
161,22,25,4,"""A reforma da minha cozinha teve um ótimo resultado, mas seria interessante oferecer um portfólio mais diversificado de designs e estilos para inspirar os clientes na concepção do projeto."""
162,39,12,3,"""Embora a equipe tenha sido atenciosa durante a construção, seria útil ter um sistema de comunicação mais eficiente para que o cliente possa acompanhar o progresso em tempo real, garantindo maior transparência."""
163,163,22,2,"""O serviço prestado na reforma do meu escritório foi de qualidade, porém, seria valioso oferecer pacotes ou descontos para projetos maiores, incentivando os clientes a realizarem mais melhorias de uma vez."""
164,19,8,1,"""Houve dedicação na construção, mas seria útil oferecer um serviço pós-obra, como um manual de manutenção ou garantia estendida, para garantir a durabilidade do trabalho realizado."""
165,190,26,1,"""A equipe foi diligente na reforma da minha casa, no entanto, seria interessante oferecer opções de financiamento ou parcelamento, tornando o serviço mais acessível a diferentes perfis de clientes."""
166,75,22,2,"""Apesar da qualidade do serviço, seria valioso disponibilizar um canal de feedback estruturado para os clientes expressarem suas necessidades e sugestões durante o processo de reforma."""
167,38,16,4,"""O resultado da construção foi satisfatório, porém, seria benéfico oferecer um serviço de consultoria adicional para otimização de espaços, agregando ainda mais valor ao projeto."""
168,150,19,5,"""A equipe foi comprometida na reforma do meu banheiro, mas seria vantajoso ter um acompanhamento pós-obra para garantir que todos os detalhes foram finalizados conforme acordado."""
169,60,13,5,"""Apesar da qualidade do serviço, seria valioso disponibilizar um canal de feedback estruturado para os clientes expressarem suas necessidades e sugestões durante o processo de reforma."""
170,71,27,2,"""O resultado da construção foi satisfatório, porém, seria benéfico oferecer um serviço de consultoria adicional para otimização de espaços, agregando ainda mais valor ao projeto."""
171,190,27,5,"""A equipe foi comprometida na reforma do meu banheiro, mas seria vantajoso ter um acompanhamento pós-obra para garantir que todos os detalhes foram finalizados conforme acordado."""
172,164,4,2,"""Embora a comunicação tenha sido clara, seria útil oferecer um serviço de assistência técnica por um período após a conclusão da reforma, para resolver eventuais problemas que possam surgir."""
173,107,11,1,"""A qualidade do serviço foi boa, no entanto, seria valioso disponibilizar um catálogo mais amplo de fornecedores de materiais para dar mais opções aos clientes na escolha dos materiais."""
174,78,6,4,"""Apesar da eficiência na execução, seria interessante oferecer um serviço de gerenciamento de resíduos mais robusto, visando a sustentabilidade e o descarte responsável dos materiais utilizados."""
175,117,3,1,"""A equipe foi prestativa na reforma da minha cozinha, mas seria útil oferecer um programa de fidelidade ou indicação para clientes frequentes, incentivando sua fidelização."""
176,144,6,1,"""Embora tenham entregado dentro do prazo, seria vantajoso disponibilizar um serviço de prévia virtual do projeto, utilizando tecnologias de realidade aumentada para visualização mais precisa."""
177,2,26,3,"""A atenção aos detalhes foi boa, mas seria valioso oferecer um serviço de consultoria em decoração após a conclusão da reforma, para ajudar os clientes na ambientação do espaço."""
178,113,8,4,"""Apesar da organização, seria interessante oferecer um serviço de garantia estendida para os materiais utilizados, assegurando aos clientes uma maior tranquilidade após a conclusão da obra."""
179,101,15,2,"""A equipe foi comprometida na reforma do meu escritório, mas seria benéfico ter um sistema de gestão online, onde os clientes pudessem acompanhar o progresso e fazer comentários em tempo real."""
180,60,4,1,"""Apesar da limpeza final, seria útil oferecer um serviço de manutenção preventiva para as instalações, ajudando os clientes a prolongarem a vida útil dos novos elementos da reforma."""
181,99,1,4,"""A comunicação foi clara, mas seria valioso oferecer um serviço de atendimento pós-obra com um canal exclusivo para dúvidas ou emergências que possam surgir após a conclusão do projeto."""
182,80,21,1,Equipe altamente profissional! Cumpriram o prazo e o resultado da reforma da minha cozinha ficou incrível. Recomendo totalmente.
183,111,30,4,Contratei-os para uma reforma de banheiro e fiquei muito satisfeito com o resultado final. Ótimo trabalho e atenção aos detalhes.
184,114,8,3,"""Excelente serviço de construção! Desde o planejamento até a execução, tudo foi feito com cuidado e competência. Muito obrigado!"""
185,6,29,1,Profissionais pontuais e qualificados. Transformaram minha área externa de forma surpreendente. Recomendo!
186,59,29,4,A reforma do meu escritório foi concluída no prazo e com excelente qualidade. Equipe comprometida e eficiente.
187,134,17,3,Contratei-os para uma pequena reforma em casa e fiquei impressionado com o profissionalismo e a dedicação da equipe. Recomendo de olhos fechados!
188,93,24,2,Serviço de construção excepcional! A equipe foi além das expectativas e entregou um trabalho de alta qualidade dentro do prazo estipulado.
189,199,22,5,Estou muito contente com a reforma da minha sala. Profissionais atenciosos e habilidosos. Recomendo a todos!
190,161,15,2,Equipe extremamente competente na execução da reforma da minha varanda. Preço justo e resultado final incrível!
191,25,3,2,Serviço de construção impecável! Profissionais qualificados e comprometidos. Superaram minhas expectativas.
192,118,25,1,Contratei-os para uma reforma em casa e o resultado foi além do esperado. Profissionais dedicados e serviço de alta qualidade.
193,171,2,4,A empresa demonstrou grande expertise na reforma do meu apartamento. Pontualidade e comprometimento foram marcas do serviço prestado.
194,54,30,1,Profissionais responsáveis e capacitados. A reforma do meu escritório foi realizada com eficiência e qualidade.
195,104,23,4,"""Recomendo fortemente! Equipe de construção comprometida e competente, entregaram o projeto de acordo com o planejado."""
196,46,14,5,Estou muito satisfeito com a reforma do meu banheiro. Profissionais ágeis e cuidadosos. Ótimo trabalho!
197,90,29,3,Serviço de construção excepcional! Profissionais dedicados que entregaram um projeto além das expectativas.
198,166,2,4,A reforma da minha cozinha foi feita com rapidez e qualidade. Profissionais competentes e comprometidos com o resultado.
199,39,8,1,Equipe de construção altamente profissional. A reforma da minha casa foi concluída com perfeição.
200,171,8,3,Serviço de reforma de extrema qualidade! Profissionais comprometidos e atenciosos com os detalhes.
201,91,16,2,"""Excelente serviço de construção! Pontuais, competentes e entregaram o projeto conforme acordado. Recomendo sem dúvidas!"""
202,92,12,5,"""Embora tenham concluído a reforma da minha cozinha dentro do prazo, alguns detalhes ficaram negligenciados. Precisam melhorar a atenção aos acabamentos."""
203,177,28,1,"""O serviço de construção foi satisfatório, mas a comunicação durante o processo poderia ter sido mais clara. Sugiro mais transparência nas etapas do projeto."""
204,135,7,4,"""A equipe foi pontual na reforma do meu banheiro, porém houve dificuldades na resolução de problemas imprevistos. Maior agilidade nas soluções seria benéfica."""
205,135,30,4,"""Contratei-os para um projeto de construção. Embora o resultado final tenha sido bom, houve atrasos na entrega. Melhorias no cumprimento dos prazos são necessárias."""
206,121,27,3,"""A reforma do meu escritório teve um bom acabamento, mas houve desafios na coordenação entre os profissionais envolvidos. Sugiro melhor organização entre as equipes."""
207,114,8,4,"""Pontualidade foi um ponto forte na reforma da minha casa, porém, a limpeza pós-obra deixou a desejar. Sugiro mais atenção nesse aspecto para uma melhor experiência."""
208,107,12,5,"""Apesar do bom serviço na reforma da área externa, a comunicação sobre mudanças no projeto foi pouco eficiente. Melhor articulação entre cliente e equipe seria vantajosa."""
209,141,19,2,"""A reforma da minha varanda teve um resultado satisfatório, mas a falta de comprometimento com prazos foi um problema. Maior responsabilidade na gestão do tempo é crucial."""
210,142,28,5,"""Houve um bom esforço na execução da construção, mas a falta de supervisão levou a alguns erros na fase inicial. Sugiro mais controle de qualidade desde o início do projeto."""
211,147,16,3,"""A equipe foi atenciosa na reforma do meu apartamento, no entanto, a falta de sugestões criativas para otimização do espaço foi notável. Mais proatividade seria interessante."""
212,40,27,5,"""Contratei-os para uma reforma em casa. Apesar da qualidade do serviço, houve falta de transparência em relação aos materiais utilizados. Maior clareza seria positiva."""
213,36,10,1,"""O serviço de construção atendeu às expectativas, mas a ausência de um plano de contingência para imprevistos prejudicou o andamento do projeto. Melhor preparação é necessária."""
214,26,24,3,"""A equipe foi competente na reforma do meu escritório, no entanto, houve dificuldades na comunicação sobre alterações no projeto. Melhorias na comunicação são essenciais."""
215,5,17,5,"""Recomendo fortemente! Equipe de construção comprometida e competente, entregaram o projeto de acordo com o planejado."""
216,114,24,1,Estou muito satisfeito com a reforma do meu banheiro. Profissionais ágeis e cuidadosos. Ótimo trabalho!
217,110,11,4,Serviço de construção excepcional! Profissionais dedicados que entregaram um projeto além das expectativas.
218,77,26,5,A reforma da minha cozinha foi feita com rapidez e qualidade. Profissionais competentes e comprometidos com o resultado.
219,71,9,1,Equipe altamente profissional! Cumpriram o prazo e o resultado da reforma da minha cozinha ficou incrível. Recomendo totalmente.
220,73,28,5,Contratei-os para uma reforma de banheiro e fiquei muito satisfeito com o resultado final. Ótimo trabalho e atenção aos detalhes.
221,48,8,1,"""Excelente serviço de construção! Desde o planejamento até a execução, tudo foi feito com cuidado e competência. Muito obrigado!"""
222,184,18,5,Profissionais pontuais e qualificados. Transformaram minha área externa de forma surpreendente. Recomendo!
223,110,23,1,A reforma do meu escritório foi concluída no prazo e com excelente qualidade. Equipe comprometida e eficiente.
224,139,18,1,Contratei-os para uma pequena reforma em casa e fiquei impressionado com o profissionalismo e a dedicação da equipe. Recomendo de olhos fechados!
225,172,22,5,Serviço de construção excepcional! A equipe foi além das expectativas e entregou um trabalho de alta qualidade dentro do prazo estipulado.
226,95,16,4,Estou muito contente com a reforma da minha sala. Profissionais atenciosos e habilidosos. Recomendo a todos!
227,104,3,5,Equipe extremamente competente na execução da reforma da minha varanda. Preço justo e resultado final incrível!
228,115,20,5,Serviço de construção impecável! Profissionais qualificados e comprometidos. Superaram minhas expectativas.
229,4,21,1,Contratei-os para uma reforma em casa e o resultado foi além do esperado. Profissionais dedicados e serviço de alta qualidade.
230,177,27,4,A empresa demonstrou grande expertise na reforma do meu apartamento. Pontualidade e comprometimento foram marcas do serviço prestado.
231,132,28,1,Profissionais responsáveis e capacitados. A reforma do meu escritório foi realizada com eficiência e qualidade.
232,114,6,1,"""Recomendo fortemente! Equipe de construção comprometida e competente, entregaram o projeto de acordo com o planejado."""
233,172,29,2,Estou muito satisfeito com a reforma do meu banheiro. Profissionais ágeis e cuidadosos. Ótimo trabalho!
234,141,10,2,Serviço de construção excepcional! Profissionais dedicados que entregaram um projeto além das expectativas.
235,183,6,3,A reforma da minha cozinha foi feita com rapidez e qualidade. Profissionais competentes e comprometidos com o resultado.
236,41,27,4,Equipe de construção altamente profissional. A reforma da minha casa foi concluída com perfeição.
237,118,5,3,Serviço de reforma de extrema qualidade! Profissionais comprometidos e atenciosos com os detalhes.
238,1,11,1,"""Excelente serviço de construção! Pontuais, competentes e entregaram o projeto conforme acordado. Recomendo sem dúvidas!"""
239,65,16,4,"""Embora tenham concluído a reforma da minha cozinha dentro do prazo, alguns detalhes ficaram negligenciados. Precisam melhorar a atenção aos acabamentos."""
240,166,2,5,"""O serviço de construção foi satisfatório, mas a comunicação durante o processo poderia ter sido mais clara. Sugiro mais transparência nas etapas do projeto."""
241,96,27,1,"""A equipe foi pontual na reforma do meu banheiro, porém houve dificuldades na resolução de problemas imprevistos. Maior agilidade nas soluções seria benéfica."""
242,171,23,1,"""Contratei-os para um projeto de construção. Embora o resultado final tenha sido bom, houve atrasos na entrega. Melhorias no cumprimento dos prazos são necessárias."""
243,67,16,4,"""A reforma do meu escritório teve um bom acabamento, mas houve desafios na coordenação entre os profissionais envolvidos. Sugiro melhor organização entre as equipes."""
244,146,15,5,"""O serviço de construção foi satisfatório, porém, a falta de sugestões criativas para otimização do espaço foi notável. Mais proatividade seria interessante."""
245,132,26,2,"""Pontualidade foi um ponto forte na reforma da minha casa, porém, a limpeza pós-obra deixou a desejar. Sugiro mais atenção nesse aspecto para uma melhor experiência."""
246,62,15,3,"""Apesar do bom serviço na reforma da área externa, a comunicação sobre mudanças no projeto foi pouco eficiente. Melhor articulação entre cliente e equipe seria vantajosa."""
247,200,14,5,"""A reforma da minha varanda teve um resultado satisfatório, mas a falta de comprometimento com prazos foi um problema. Maior responsabilidade na gestão do tempo é crucial."""
248,45,28,4,"""Houve um bom esforço na execução da construção, mas a falta de supervisão levou a alguns erros na fase inicial. Sugiro mais controle de qualidade desde o início do projeto."""
249,85,18,1,"""A equipe foi atenciosa na reforma do meu apartamento, no entanto, a falta de cuidado na proteção de áreas adjacentes durante a obra foi notável. Maior zelo é necessário."""
250,136,13,2,"""Contratei-os para uma reforma em casa. Apesar da qualidade do serviço, houve falta de transparência em relação aos materiais utilizados. Maior clareza seria positiva."""
251,67,16,2,"""O serviço de construção atendeu às expectativas, mas a ausência de um plano de contingência para imprevistos prejudicou o andamento do projeto. Melhor preparação é necessária."""
252,6,10,3,"""A equipe foi competente na reforma do meu escritório, no entanto, houve dificuldades na comunicação sobre alterações no projeto. Melhorias na comunicação são essenciais."""
253,104,8,2,"""A reforma do meu banheiro teve um bom resultado final, porém, a falta de acompanhamento regular do progresso gerou incertezas. Recomendo maior feedback ao cliente."""
254,61,21,2,"""Embora tenham entregado a construção no prazo, houve problemas com a qualidade de alguns materiais utilizados. Sugiro maior atenção à seleção de materiais de melhor qualidade."""
255,66,23,1,"""A equipe foi comprometida na reforma da minha cozinha, mas alguns detalhes de acabamento foram negligenciados. Melhor atenção aos detalhes é fundamental."""
256,138,15,1,"""O serviço de construção foi satisfatório, porém, houve falta de cuidado na proteção de áreas adjacentes durante a obra. Maior zelo com o ambiente é necessário."""
257,98,28,1,"""Apesar do resultado final da reforma ter sido positivo, a falta de flexibilidade para ajustes no projeto foi um obstáculo. Sugiro maior adaptabilidade"""
258,1,4,1,"""Embora tenham concluído a reforma da minha cozinha dentro do prazo, alguns detalhes ficaram negligenciados. Precisam melhorar a atenção aos acabamentos."""
259,63,15,1,"""O serviço de construção foi satisfatório, mas a comunicação durante o processo poderia ter sido mais clara. Sugiro mais transparência nas etapas do projeto."""
260,47,22,4,"""A equipe foi pontual na reforma do meu banheiro, porém houve dificuldades na resolução de problemas imprevistos. Maior agilidade nas soluções seria benéfica."""
261,46,6,2,"""Contratei-os para um projeto de construção. Embora o resultado final tenha sido bom, houve atrasos na entrega. Melhorias no cumprimento dos prazos são necessárias."""
262,16,30,3,"""A reforma do meu escritório teve um bom acabamento, mas houve desafios na coordenação entre os profissionais envolvidos. Sugiro melhor organização entre as equipes."""
263,146,22,5,"""O serviço de construção foi satisfatório, mas houve divergências no orçamento inicial e final. Recomendo mais clareza nos custos extras durante o projeto."""
264,35,9,3,"""Pontualidade foi um ponto forte na reforma da minha casa, porém, a limpeza pós-obra deixou a desejar. Sugiro mais atenção nesse aspecto para uma melhor experiência."""
265,56,24,5,Equipe de construção altamente profissional. A reforma da minha casa foi concluída com perfeição.
266,185,23,3,Serviço de reforma de extrema qualidade! Profissionais comprometidos e atenciosos com os detalhes.
267,66,14,3,"""Excelente serviço de construção! Pontuais, competentes e entregaram o projeto conforme acordado. Recomendo sem dúvidas!"""
268,188,16,1,"""A equipe foi pontual e comprometida na reforma do meu banheiro, porém, seria vantajoso oferecer opções mais sustentáveis de materiais para escolha dos clientes, alinhando-se às tendências ambientais."""
269,110,29,4,"""O serviço de construção foi bem executado, no entanto, seria benéfico ter mais disponibilidade para reuniões intermediárias durante o projeto, para alinhar expectativas e ajustar detalhes conforme necessário."""
